Temperature,Genotype,Flask,RespirationPer10000cells,GrossPhotoPer10000cells,NetPhotoPer10000cells
26,RT362,1,-0.030090372,0.036173025,0.066263397
26,RT362,1,-0.024500182,0.027540872,0.052041054
26,RT362,2,-0.027107856,0.04388903,0.070996886
26,RT362,2,-0.022385138,0.041361642,0.06374678
26,RT362,3,-0.022804207,0.032898152,0.055702358
26,RT362,3,-0.02312543,0.034557043,0.057682473
26,RT362,4,-0.018764263,0.028383112,0.047147375
26,RT362,4,-0.018129728,0.025983112,0.04411284
26,CCMP2464,1,-0.026562774,0.043915868,0.070478643
26,CCMP2464,1,-0.035111277,0.056417665,0.091528942
26,CCMP2464,2,-0.028230102,0.04547381,0.073703912
26,CCMP2464,2,-0.034621939,0.054118707,0.088740646
26,CCMP2464,3,-0.038843963,0.059626419,0.098470382
26,CCMP2464,3,-0.034837771,0.057277193,0.092114964
26,CCMP2464,4,-0.019294854,0.031312212,0.050607066
26,CCMP2464,4,-0.023295776,0.036432028,0.059727803
26,CCMP2458,1,-0.011884377,0.013708989,0.025593365
26,CCMP2458,1,-0.009787426,0.010611075,0.020398502
26,CCMP2458,2,-0.015101817,0.01126184,0.026363657
26,CCMP2458,2,-0.003302158,0.016745997,0.020048154
26,CCMP2458,3,-0.014832243,0.021751713,0.036583956
26,CCMP2458,3,-0.016078972,0.022363863,0.038442835
26,CCMP2458,4,-0.015734152,0.020810156,0.036544308
26,CCMP2458,4,-0.013185749,0.018745291,0.03193104
26,FLCass,1,-0.03179478,0.099278846,0.131073626
26,FLCass,1,-0.033168407,0.085973352,0.119141758
26,FLCass,2,-0.029606017,0.090321784,0.119927801
26,FLCass,2,-0.027612656,0.090159129,0.117771784
26,FLCass,3,-0.031513068,0.081563447,0.113076515
26,FLCass,3,-0.03038125,0.07019678,0.10057803
26,FLCass,4,-0.037651255,0.076865063,0.114516318
26,FLCass,4,-0.037776778,0.087703556,0.125480335
26,KB8,1,-0.015364834,0.024944295,0.040309129
26,KB8,1,-0.016625415,0.027921888,0.044547303
26,KB8,2,-0.016657126,0.031412299,0.048069425
26,KB8,2,-0.01784977,0.035957586,0.053807356
26,KB8,3,-0.041156833,0.068311833,0.109468667
26,KB8,3,-0.037050167,0.057321167,0.094371333
26,KB8,4,-0.022766626,0.028854248,0.051620874
26,KB8,4,-0.020278277,0.031152306,0.051430583
30,RT362,1,-0.007447114,0.020987803,0.028434916
30,RT362,1,-0.004380447,0.018862663,0.02324311
30,RT362,2,-0.005176786,0.019960417,0.025137202
30,RT362,2,-0.004594246,0.020047718,0.024641964
30,RT362,3,-0.008077234,0.024594149,0.032671383
30,RT362,3,-0.005571702,0.022345638,0.02791734
30,RT362,4,-0.005725058,0.025745824,0.031470882
30,RT362,4,-0.006010905,0.025362529,0.031373434
30,CCMP2464,1,-0.011387855,0.025100904,0.03648876
30,CCMP2464,1,-0.008317054,0.020660594,0.028977649
30,CCMP2464,2,-0.008145057,0.02114954,0.029294598
30,CCMP2464,2,-0.008438391,0.022678736,0.031117126
30,CCMP2464,3,-0.013893125,0.024552604,0.038445729
30,CCMP2464,3,-0.009087292,0.020645104,0.029732396
30,CCMP2464,4,-0.009772,0.018051143,0.027823143
30,CCMP2464,4,-0.011744571,0.017763905,0.029508476
30,CCMP2458,1,-0.008631492,0.008495529,0.017127022
30,CCMP2458,1,-0.007150625,0.007109336,0.014259961
30,CCMP2458,2,-0.004562524,0.007132298,0.011694822
30,CCMP2458,2,-0.006557864,0.004486084,0.011043948
30,CCMP2458,3,-0.005492619,0.008312222,0.013804841
30,CCMP2458,3,-0.005806905,0.008617937,0.014424841
30,CCMP2458,4,-0.005231268,0.012699541,0.017930809
30,CCMP2458,4,-0.005654676,0.004762192,0.010416867
30,FLCass,1,-0.012252626,0.011661844,0.023914469
30,FLCass,1,-0.013838478,0.021036763,0.034875241
30,FLCass,2,-0.012367312,0.014985795,0.027353107
30,FLCass,2,-0.011340678,0.00965795,0.020998628
30,FLCass,3,-0.006837117,0.008853783,0.0156909
30,FLCass,3,-0.010440798,0.013007157,0.023447955
30,FLCass,4,-0.008492018,0.01079693,0.019288947
30,FLCass,4,-0.004410965,0.006386404,0.010797368
30,KB8,1,-0.005955115,0.003098817,0.009053932
30,KB8,1,-0.007395616,0.005009464,0.01240508
30,KB8,2,-0.00743161,0.006121537,0.013553148
30,KB8,2,-0.007605765,0.004752949,0.012358714
30,KB8,3,-0.006939336,0.004717867,0.011657203
30,KB8,3,-0.009380014,0.005986511,0.015366525
30,KB8,4,-0.008494082,0.004763875,0.013257956
30,KB8,4,-0.005370463,0.004225181,0.009595645
32,RT362,1,-0.419180776,1.114136537,1.533317313
32,RT362,1,-0.798100342,1.129345082,1.927445423
32,RT362,2,-0.313725198,1.184995038,1.498720235
32,RT362,2,-0.464109041,1.194242893,1.658351934
32,RT362,3,-0.51207064,1.196415657,1.708486297
32,RT362,3,-0.236753945,1.202753656,1.4395076
32,RT362,4,NA,NA,NA
32,RT362,4,-0.264514077,1.168844284,1.433358361
32,CCMP2464,1,-0.771123926,1.126237879,1.897361805
32,CCMP2464,1,-0.598660735,1.07351456,1.672175296
32,CCMP2464,2,-0.787554128,1.131269186,1.918823314
32,CCMP2464,2,-0.896636142,1.103779577,2.000415719
32,CCMP2464,3,-0.897085502,1.164815788,2.06190129
32,CCMP2464,3,-0.794517679,1.125195012,1.919712691
32,CCMP2464,4,-0.631147261,1.088401431,1.719548692
32,CCMP2464,4,-0.456917953,1.094283522,1.551201475
32,CCMP2458,1,-0.381207734,1.247033326,1.628241061
32,CCMP2458,1,-0.283305634,1.258695781,1.542001415
32,CCMP2458,2,NA,NA,NA
32,CCMP2458,2,-0.3257663,1.231905922,1.557672222
32,CCMP2458,3,-0.322524859,1.24064965,1.56317451
32,CCMP2458,3,-0.289692863,1.238289626,1.527982489
32,CCMP2458,4,-0.420559025,1.180084793,1.600643818
32,CCMP2458,4,-0.453035542,1.206197526,1.659233067
32,FLCass,1,-1.337466194,0.984229567,2.321695761
32,FLCass,1,NA,NA,NA
32,FLCass,2,-1.502076707,0.96142189,2.463498597
32,FLCass,2,NA,NA,NA
32,FLCass,3,-1.274567904,1.026826899,2.301394803
32,FLCass,3,-1.234379865,1.07726231,2.311642175
32,FLCass,4,-1.669944205,1.052576795,2.722521
32,FLCass,4,-2.238430318,0.906464047,3.144894365
32,KB8,1,-0.811531946,1.199978091,2.011510037
32,KB8,1,-0.59681421,1.197152206,1.793966416
32,KB8,2,-0.698482423,1.19234635,1.890828773
32,KB8,2,-0.798066924,1.21067726,2.008744184
32,KB8,3,-0.897976788,1.168151971,2.066128759
32,KB8,3,-0.573342523,1.179778267,1.753120791
32,KB8,4,-0.554696989,1.198471198,1.753168188
32,KB8,4,-0.636814048,1.190818438,1.827632487
