Temperature,Genotype,Flask,RespirationPer10000cells,GrossPhotoPer10000cells,NetPhotoPer10000cells,AvgResp,AvgGP,AvgNP
26,RT362,1,-0.030090372,0.036173025,0.066263397,-0.027295277,0.031856948,0.059152225
26,RT362,2,-0.027107856,0.04388903,0.070996886,-0.024746497,0.042625336,0.067371833
26,RT362,3,-0.022804207,0.032898152,0.055702358,-0.022964818,0.033727597,0.056692416
26,RT362,4,-0.018764263,0.028383112,0.047147375,-0.018446996,0.027183112,0.045630108
26,CCMP2464,1,-0.026562774,0.043915868,0.070478643,-0.030837026,0.050166766,0.081003792
26,CCMP2464,2,-0.028230102,0.04547381,0.073703912,-0.03142602,0.049796259,0.081222279
26,CCMP2464,3,-0.038843963,0.059626419,0.098470382,-0.036840867,0.058451806,0.095292673
26,CCMP2464,4,-0.019294854,0.031312212,0.050607066,-0.021295315,0.03387212,0.055167435
26,CCMP2458,1,-0.011884377,0.013708989,0.025593365,-0.010835902,0.012160032,0.022995934
26,CCMP2458,2,-0.015101817,0.01126184,0.026363657,-0.009201988,0.014003918,0.023205906
26,CCMP2458,3,-0.014832243,0.021751713,0.036583956,-0.015455607,0.022057788,0.037513396
26,CCMP2458,4,-0.015734152,0.020810156,0.036544308,-0.014459951,0.019777723,0.034237674
26,FLCass,1,-0.03179478,0.099278846,0.131073626,-0.032481593,0.092626099,0.125107692
26,FLCass,2,-0.029606017,0.090321784,0.119927801,-0.028609336,0.090240456,0.118849793
26,FLCass,3,-0.031513068,0.081563447,0.113076515,-0.030947159,0.075880114,0.106827273
26,FLCass,4,-0.037651255,0.076865063,0.114516318,-0.037714017,0.08228431,0.119998326
26,KB8,1,-0.015364834,0.024944295,0.040309129,-0.015995124,0.026433091,0.042428216
26,KB8,2,-0.016657126,0.031412299,0.048069425,-0.017253448,0.033684943,0.050938391
26,KB8,3,-0.041156833,0.068311833,0.109468667,-0.0391035,0.0628165,0.10192
26,KB8,4,-0.022766626,0.028854248,0.051620874,-0.021522451,0.030003277,0.051525728
30,RT362,1,-0.007447114,0.020987803,0.028434916,-0.00591378,0.019925233,0.025839013
30,RT362,2,-0.005176786,0.019960417,0.025137202,-0.004885516,0.020004067,0.024889583
30,RT362,3,-0.008077234,0.024594149,0.032671383,-0.006824468,0.023469894,0.030294362
30,RT362,4,-0.005725058,0.025745824,0.031470882,-0.005867981,0.025554176,0.031422158
30,CCMP2464,1,-0.011387855,0.025100904,0.03648876,-0.009852455,0.022880749,0.032733204
30,CCMP2464,2,-0.008145057,0.02114954,0.029294598,-0.008291724,0.021914138,0.030205862
30,CCMP2464,3,-0.013893125,0.024552604,0.038445729,-0.011490208,0.022598854,0.034089063
30,CCMP2464,4,-0.009772,0.018051143,0.027823143,-0.010758286,0.017907524,0.02866581
30,CCMP2458,1,-0.008631492,0.008495529,0.017127022,-0.007891059,0.007802433,0.015693491
