WellNum,Genotype.x,Temp.x,Plate.x,Day.Dead.x,Survive.to.End.x,Days.to.Inoculation.x,Days.to.Strobilation.x,Days.to.Ephyra.x,Total.Buds.x,Total.Ephyra.Produced.x,Notes.x,Date,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto,Count1,Count2,PicDate,PictureNum,Area,Genotype.y,Temp.y,Plate.y,Day.Dead.y,Survive.to.End.y,Days.to.Inoculation.y,Days.to.Strobilation.y,Days.to.Ephyra.y,Total.Buds.y,Total.Ephyra.Produced.y,Notes.y,avgct,cells.per.mL,cells.per.polyp,cells.per.area,Resp.per.cell.density,Resp,GP.per.cell.density,GP,NP.per.cell.density,NP,Resp.per.cell,Resp.per.bill.cell,GP.per.cell,GP.per.bill.cell,NP.per.cell,NP.per.bill.cell,Seq
1,CCMP2458,26,1,NA,Yes,22,24,28,6,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
2,CCMP2458,26,1,NA,Yes,20,NA,NA,2,0,,20-Jan,-0.0125,0.6325,-0.153075,0.182366667,0.335441667,66,71,20-Jan,7,0.488,CCMP2458,26,1,NA,Yes,20,NA,NA,2,0,,68.5,685000,102750000,210553278.7,-7.27E-10,-0.727013139,8.66E-10,0.86613074,1.59E-09,1.593143878,-1.49E-09,-1.489781022,1.77E-09,1.774858073,3.26E-09,3.264639095,N
3,CCMP2458,26,1,16,No,NA,NA,NA,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
4,CCMP2458,26,1,NA,Yes,26,28,NA,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
5,CCMP2458,26,1,NA,Yes,26,NA,NA,2,0,,20-Jan,-0.0569,0.3668,-0.197475,-0.083333333,0.114141667,32,59,20-Jan,8,0.557,CCMP2458,26,1,NA,Yes,26,NA,NA,2,0,,45.5,455000,68250000,122531418.3,-1.61E-09,-1.611627473,-6.80E-10,-0.680097677,9.32E-10,0.931529795,-2.89E-09,-2.893406593,-1.22E-09,-1.221001216,1.67E-09,1.672405377,Y
6,CCMP2458,26,1,NA,Yes,16,18,22,4,1,,20-Jan,0.0961,0.395,-0.044475,-0.055133333,-0.010658333,8,10,20-Jan,9,0.164,CCMP2458,26,1,NA,Yes,16,18,22,4,1,,9,90000,13500000,82317073.17,-5.40E-10,-0.540288889,-6.70E-10,-0.669767897,-1.29E-10,-0.129479008,-3.29E-09,-3.294444444,-4.08E-09,-4.083950593,-7.90E-10,-0.789506148,Y
7,CCMP2458,26,2,NA,Yes,NA,NA,NA,7,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
8,CCMP2458,26,2,NA,Yes,20,NA,NA,3,0,,20-Jan,-0.0271,0.4024,-0.167675,-0.047733333,0.119941667,65,54,20-Jan,10,0.437,CCMP2458,26,2,NA,Yes,20,NA,NA,3,0,,59.5,595000,89250000,204233409.6,-8.21E-10,-0.820996919,-2.34E-10,-0.233719513,5.87E-10,0.587277406,-1.88E-09,-1.878711485,-5.35E-10,-0.534827261,1.34E-09,1.343884224,Y
9,CCMP2458,26,2,NA,Yes,NA,NA,NA,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
10,CCMP2458,26,2,NA,Yes,20,NA,NA,1,0,,20-Jan,-0.2817,0.5746,-0.422275,0.124466667,0.546741667,62,69,20-Jan,11,0.474,CCMP2458,26,2,NA,Yes,20,NA,NA,1,0,,65.5,655000,98250000,207278481,-2.04E-09,-2.037235115,6.00E-10,0.600480409,2.64E-09,2.637715523,-4.30E-09,-4.297964377,1.27E-09,1.266836305,5.56E-09,5.564800682,Y
