Round,Genotype,Flask,Temp,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note
May,CCMP2458,1,26,1931416.916,35383.11891,0.263547194,15.10653411,2.630068532,9629179.163,9479861.104,148507.3377,
May,CCMP2458,1,30,1381779.091,42928.45631,0.368655514,9.331290972,1.88020294,13346375,12869861.11,159809.048,
May,CCMP2458,1,32,633337.5553,5705.090205,0.519709474,9.044660899,1.333720503,6300944.039,6192083.334,29657.71682,
May,CCMP2458,2,26,1650897.301,35852.73464,0.270366266,14.08348032,2.563733969,9416406.086,9199999.999,107868.0511,
May,CCMP2458,2,30,1652292.044,81674.48767,0.255769183,11.55918177,2.710049628,12864735.52,12420277.77,135463.2728,
May,CCMP2458,2,32,696792.2331,11069.24762,0.408801078,10.09366947,1.69556104,6222696.487,6108888.888,24633.61626,
May,CCMP2458,3,26,1263721.738,16666.38699,0.361947774,11.9220139,1.915047501,9157767.515,8920277.783,134477.5608,
May,CCMP2458,3,30,3183008.623,122127.6664,0.179406684,17.95580313,3.863552704,13343148.43,13042222.23,175939.2291,
May,CCMP2458,3,32,903169.7276,14650.81517,0.334636473,12.26722216,2.071343792,6306374.664,6279305.558,59590.75359,
May,CCMP2458,4,26,1113468.641,3875.614365,0.503567407,11.23393674,1.37647348,8683400.786,8729166.665,90705.34371,
May,CCMP2458,4,30,1814994.036,96949.89371,0.23270969,12.35336402,2.978591826,13141113.63,12723194.44,173575.6451,
May,CCMP2458,4,32,722536.0364,3010.908759,0.528478236,10.36248823,1.311590776,6249366.835,6462500.002,76817.4727,
May,CCMP2464,1,26,2340.313947,8611.111,1.305653888,-0.242905015,0.53088126,46801.1066,47916.6665,3153.11161,questionable fit (k < n0)
May,CCMP2464,1,30,5293.618683,25.29394113,2.772333457,1.925779457,0.250023019,90375.2673,88749.9905,3021.686032,
May,CCMP2464,1,32,6950238114,3498.228707,0.032614458,444.6503144,21.25275761,92063.80328,84629.627,3241.059252,
May,CCMP2464,2,26,2222.222,7777.778,0.066141791,-5.08713446,10.4797159,76677.14655,67083.334,2984.19121,questionable fit (k < n0)
May,CCMP2464,2,30,587543594.3,4473.524394,0.000726056,16232.25338,954.6748192,85585.93327,81805.556,4103.722202,
May,CCMP2464,2,32,833.333,3064.350897,0.023717307,-13.38169756,29.22537444,39678.57201,34166.6675,2664.4272,questionable fit (k < n0)
May,CCMP2464,3,26,833.333,5176.606686,0.041107409,-4.269823825,16.86185544,43030.76632,32638.891,2404.381079,questionable fit (k < n0)
May,CCMP2464,3,30,0,0,0,0,0,0,0,0,cannot fit data
May,CCMP2464,3,32,0,0,0,0,0,0,0,0,cannot fit data
May,CCMP2464,4,26,2777.777,8611.111,0.157874113,-2.466931615,4.390505632,72080.76227,61805.5485,2166.884306,questionable fit (k < n0)
May,CCMP2464,4,30,0,0,0,0,0,0,0,0,cannot fit data
May,CCMP2464,4,32,18831979396,2304.46386,0.061077258,260.5915748,11.34869514,82683.17815,79166.659,2901.502541,
May,FLCass,1,26,759888.985,9948.594527,0.417231712,10.36010042,1.661300329,6590224.837,6818159.728,123382.9194,
May,FLCass,1,30,806425.2142,9545.994815,0.566022736,7.816967703,1.22459247,9003850.586,9447847.214,174201.4992,
May,FLCass,1,32,2.21522E+13,26670.1426,0.178724798,114.9121836,3.878293263,4303288.345,4319583.332,74851.14382,
May,FLCass,2,26,764240.0156,8591.904242,0.391263393,11.4417947,1.771561545,5853144.943,6201388.889,102172.1692,
May,FLCass,2,30,873141.4406,14100.02925,0.473548217,8.678398764,1.463730949,8996046.424,9382604.173,133591.1682,
May,FLCass,2,32,2901731.577,35122.26234,0.165463089,26.60442294,4.189134775,4172404.659,4125624.999,40406.38929,
May,FLCass,3,26,821493.7681,14362.32736,0.353704541,11.3905179,1.959678488,6362490.888,6624791.674,141487.0995,
May,FLCass,3,30,862777.4781,23548.9966,0.391357821,9.130773908,1.771134095,8499791.499,8697777.773,151972.0447,
May,FLCass,3,32,893073.404,22536.20928,0.278438637,13.12313267,2.489407321,5737057.168,5696562.508,32814.60697,
May,FLCass,4,26,662733.9586,1341.11574,0.593464499,10.44855434,1.167967387,5672030.468,6109166.671,122479.6707,
May,FLCass,4,30,898379.4433,8664.723209,0.549292498,8.43201193,1.261890857,9483132.279,9835555.557,153514.664,
May,FLCass,4,32,7.60777E+12,14803.39361,0.215625621,93.02038932,3.214586366,4061025.13,4124687.501,33515.4434,
May,KB8,1,26,793349.8694,6056.749943,0.488222858,9.969683329,1.419735208,7171403.321,7159166.669,35867.93052,
May,KB8,1,30,1422257.071,39868.27677,0.377684553,9.388753997,1.835254251,13661145.06,13470138.89,105709.0474,
May,KB8,1,32,862772.8126,4608.843634,0.32857497,15.90753613,2.109555641,3465285.344,3452071.754,24430.51544,
May,KB8,2,26,790357.7703,4824.161659,0.467577277,10.89173174,1.482422723,6435806.293,6308124.998,58047.53282,
May,KB8,2,30,1299280.104,37681.40791,0.373586396,9.398008673,1.855386567,12468267.62,12162083.34,94451.17712,
May,KB8,2,32,873953.5857,10614.13592,0.289968751,15.16929408,2.390420271,4168962.062,4134479.172,29210.55428,
May,KB8,3,26,493491.919,2923.372348,0.574968124,8.909758546,1.205540189,4976943.642,4920694.449,40009.18546,
May,KB8,3,30,1371406.221,24248.99198,0.417579115,9.620636426,1.659918217,12869067.3,12904305.55,108625.9015,
May,KB8,3,32,2.13281E+12,14757.64874,0.194392616,96.65461483,3.565707354,2974692.069,2964548.603,28891.62738,
May,KB8,4,26,587990.4908,9603.18505,0.408260695,10.03806871,1.697805323,5282449.22,5204895.826,21220.76625,
May,KB8,4,30,1252880.132,13369.01649,0.478743146,9.461299931,1.447847738,11949831.78,11711111.1,49209.1124,
May,KB8,4,32,1.22679E+13,2093.882167,0.299739826,75.03584646,2.312496103,2070506.889,2360555.563,71906.27122,
May,RT362,1,26,3.84685E+13,85965.4763,0.156079553,127.6218437,4.440986464,10136897.47,10080138.89,176411.1644,
May,RT362,1,30,1364939.366,36894.19379,0.346929553,10.3289245,1.997947928,11917309.17,11922083.33,163296.4014,
May,RT362,1,32,1074504.476,16508.50195,0.341403308,12.18575273,2.030288416,7566437.935,7517881.95,63859.99997,
May,RT362,2,26,1430643.143,56022.44519,0.281850901,11.35416169,2.459268992,11292353.23,10874722.22,157519.522,
May,RT362,2,30,1294113.499,36564.4863,0.348433454,10.15356702,1.989324425,11508338.02,11690416.66,184229.0692,
May,RT362,2,32,1072661.569,6399.810365,0.481359487,10.62749546,1.439978226,9006781.998,9157256.945,121829.6811,
May,RT362,3,26,1202590.349,23349.25328,0.388839888,10.08657158,1.782603075,10753718.34,10418472.22,115034.5628,
May,RT362,3,30,1342863.079,41451.53545,0.332762027,10.35779192,2.083011655,11700076.25,11939027.79,230029.2592,
May,RT362,3,32,1180524.292,16048.07292,0.37475784,11.43255038,1.849586869,9070016.273,9014062.506,64976.72156,
May,RT362,4,26,1108730.754,14135.75666,0.451423675,9.634922637,1.535469269,10387402.46,10200925.92,85844.24564,
May,RT362,4,30,1425626.297,42928.79798,0.316785754,10.96087387,2.188062976,11662623.29,11877638.89,157360.971,
May,RT362,4,32,1103026.76,15300.65202,0.38003495,11.21988706,1.823903778,8688234.065,8627499.998,36378.99652,
July,CCMP2458,1,26,1.29185E+12,64521.65371,0.128687823,130.6443481,5.386268583,6074230.3,5864826.388,109139.5093,
July,CCMP2458,1,30,1723425.822,104361.9079,0.17431103,15.72900282,3.976496375,10585699.61,10259062.5,148333.8496,
July,CCMP2458,1,32,1555858.134,86436.46146,0.154158933,18.37853013,4.496315386,7758764.525,7388194.45,136791.9651,
July,CCMP2458,2,26,9.65611E+12,68855.03193,0.135621491,138.317708,5.110894872,7141225.827,6976249.995,103736.2539,
July,CCMP2458,2,30,7.92307E+12,124095.9052,0.116969067,153.6473763,5.925901582,9946015.964,9761979.173,206831.3595,
July,CCMP2458,2,32,5.76525E+11,136836.4781,0.102970281,148.1373344,6.731526557,9091358.034,8761805.553,197827.7713,
July,CCMP2458,3,26,1222840.275,53723.18313,0.188242655,16.36270745,3.682200401,6808268.03,6481944.44,114590.0115,
July,CCMP2458,3,30,2.51066E+12,132274.1029,0.112311378,149.2185037,6.171655889,9954307.367,9655104.173,265859.8364,
July,CCMP2458,3,32,11869534.16,111414.2939,0.115472246,40.34773589,6.002716685,8397578.001,8062916.673,168067.8337,
July,CCMP2458,4,26,2.79122E+12,73600.94197,0.12930022,134.9656267,5.360757927,6988158.751,6676666.665,152751.2432,
July,CCMP2458,4,30,1944685.713,148240.2651,0.132067326,18.88984164,5.24843807,10157999.96,9806145.828,204868.8789,
July,CCMP2458,4,32,1632287.253,105172.2063,0.139440456,19.18766375,4.970918785,8016074.425,7628472.22,182196.2057,
July,CCMP2464,1,26,836624.1095,5014.75466,0.454558779,11.24382268,1.524879098,7348630.973,7286527.787,56230.84176,
July,CCMP2464,1,30,1137530.533,5470.130086,0.532972277,10.00519624,1.300531399,11369451.45,11511388.88,131211.8882,
July,CCMP2464,1,32,1030760.971,4031.741367,0.520400682,10.64551861,1.331949025,9649641.43,9926944.44,71230.54072,
July,CCMP2464,2,26,717728.5083,3973.279611,0.481201197,10.78747989,1.440451905,6621420.289,6793645.84,136999.7411,
July,CCMP2464,2,30,1134566.748,2325.867928,0.605071483,10.22666071,1.145562467,11089718.54,11599583.33,128676.3946,
July,CCMP2464,2,32,1008011.789,4097.938771,0.524753987,10.48334555,1.320899311,9598053,9957777.773,98990.57596,
July,CCMP2464,3,26,664268.3327,3877.13589,0.466853915,11.00501787,1.484719649,5987944.689,6155381.947,63806.4165,
July,CCMP2464,3,30,1153079.178,1840.522209,0.603483467,10.66896568,1.148576919,10763205.87,11426388.88,142096.0375,
July,CCMP2464,3,32,1104294.517,2742.891568,0.563968533,10.63084552,1.229052935,10351343.69,10889583.33,117675.3959,
July,CCMP2464,4,26,737374.3892,6558.894404,0.430357016,10.95216019,1.610632929,6690884.107,6573576.393,68490.77846,
July,CCMP2464,4,30,1172570.252,7792.937448,0.489592298,10.22701409,1.415764061,11463471.58,11740694.45,77498.7949,
