Round,sampleID,Temp,Genotype,Flask,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,ExcelExp,LinearGrowth
MayJune,CCMP2458_1_26,26,CCMP2458,1,1567173.535,18861.37738,0.332829801,13.24341863,2.082587495,20001734.41,20299722.21,142467.9092,,0.2666,7.5033
MayJune,CCMP2458_1_30,30,CCMP2458,1,1915016.71,123855.8989,0.204611457,13.05645558,3.38762643,24801240.68,24261666.66,189579.9313,,0.315,8.8178
MayJune,CCMP2458_1_32,32,CCMP2458,1,1757095.079,79455.59359,0.146060036,20.88144578,4.745632,13100357.1,12805833.33,95116.55544,,0.304,4.7811
MayJune,CCMP2458_2_26,26,CCMP2458,2,1345309.74,20201.06553,0.340659123,12.28064689,2.034723668,18433737.1,18385277.78,128459.9616,,0.211,6.9568
MayJune,CCMP2458_2_30,30,CCMP2458,2,1876078.358,110711.1162,0.210420717,13.16025252,3.294101417,24125004.36,23554583.33,158158.1807,,0.3535,7.9796
MayJune,CCMP2458_2_32,32,CCMP2458,2,1012140.41,53932.45553,0.20157286,14.2744037,3.438692983,12044496.61,11517916.66,112009.3125,,0.3329,4.5163
MayJune,CCMP2458_3_26,26,CCMP2458,3,1509006.118,25450.86677,0.305207003,13.3202936,2.271072337,19151728.24,19423472.23,166780.7205,,0.1998,7.273
MayJune,CCMP2458_3_30,30,CCMP2458,3,1887194.32,95732.84268,0.231641152,12.64553204,2.992331778,25139645.7,24624861.12,220866.037,,0.1888,8.7215
MayJune,CCMP2458_3_32,32,CCMP2458,3,1364949.885,42816.65489,0.208885674,16.42082282,3.318308857,13695497.46,13293750,80923.77752,,0.3209,4.3517
MayJune,CCMP2458_4_26,26,CCMP2458,4,1225030.621,8936.637971,0.414859628,11.84313818,1.670799312,17329266.97,17377222.22,116294.1168,,0.2778,7.4956
MayJune,CCMP2458_4_30,30,CCMP2458,4,2204186.463,134767.9285,0.182727312,14.94833291,3.793341959,25102267.59,24752499.99,257746.6824,,0.2435,8.6515
MayJune,CCMP2458_4_32,32,CCMP2458,4,1575695.422,69972.13308,0.161967436,18.94783089,4.27954654,13364536.05,12840694.45,140458.3008,,0.2642,5.1036
MayJune,CCMP2464_1_26,26,CCMP2464,1,1252.144355,8611.111,0.138918937,-1.131118822,4.989580213,49725.10621,49722.2225,2733.262778,questionable fit (k < n0),NA,NA
MayJune,CCMP2464_1_30,30,CCMP2464,1,5000,2657.526923,4.386116336,-0.028770035,0.158032101,129279.4971,124583.3215,3507.542605,questionable fit,NA,
MayJune,CCMP2464_1_32,32,CCMP2464,1,4583.333,9722.222,0.631694793,-1.009312238,1.09728177,124622.7897,117824.0695,2943.200705,questionable fit (k < n0),NA,
MayJune,CCMP2464_2_26,26,CCMP2464,2,1944.4445,7236.973298,0.034997974,-8.94071483,19.80535187,104199.5505,75138.89,2757.90035,questionable fit (k < n0),NA,NA
MayJune,CCMP2464_2_30,30,CCMP2464,2,4974.747058,4.785315151,7.410425355,0.93727623,0.09353676,124680.0653,127638.8935,3996.428951,,NA,
MayJune,CCMP2464_2_32,32,CCMP2464,2,0,0,0,0,0,0,0,0,cannot fit data,NA,
MayJune,CCMP2464_3_26,26,CCMP2464,3,2777.778,7847.244284,0.086428575,-5.055352124,8.019884389,103326.3703,83472.219,2188.367919,questionable fit (k < n0),NA,NA
MayJune,CCMP2464_3_30,30,CCMP2464,3,4305.5555,10734.24403,0.077132274,-6.646614019,8.98647411,158246.6831,132777.769,4277.835194,questionable fit (k < n0),NA,
MayJune,CCMP2464_3_32,32,CCMP2464,3,1388.889,7340.928264,0.063587383,-3.298317958,10.90070309,68793.59024,54722.225,2114.342888,questionable fit (k < n0),NA,
MayJune,CCMP2464_4_26,26,CCMP2464,4,4722.222,10555.556,0.222691244,-2.663165557,3.112592886,139798.8283,118888.8935,2753.204058,questionable fit (k < n0),NA,NA
MayJune,CCMP2464_4_30,30,CCMP2464,4,5202.019957,1.969030162,7.801114463,1.009968847,0.088852328,129998.3883,132638.891,4403.926076,,NA,
MayJune,CCMP2464_4_32,32,CCMP2464,4,3952.469872,3024.892706,0.971413525,-1.216840081,0.713544915,101675.9597,105694.431,3100.098638,questionable fit,NA,
MayJune,FLCass_1_26,26,FLCass,1,762820.1669,12134.31763,0.396390584,10.40627556,1.748646937,11868324.82,11401354.17,154431.3843,,0.2148,
MayJune,FLCass_1_30,30,FLCass,1,916480.3369,18071.706,0.458887438,8.51249605,1.510495001,15987831.96,15776458.32,188882.3017,,0.2497,
MayJune,FLCass_1_32,32,FLCass,1,793691.3137,15687.0749,0.272634013,14.31917759,2.542409042,9330934.292,9285833.332,106902.3601,,0.2177,
MayJune,FLCass_2_26,26,FLCass,2,710931.4356,7562.903465,0.411524658,11.01422654,1.684339364,10639000.95,10416388.89,164401.8149,,0.2033,
MayJune,FLCass_2_30,30,FLCass,2,954345.9532,24120.65251,0.396601992,9.209127692,1.747714822,15965784.01,15701770.84,165334.2242,,0.2308,
