Temperature,Genotype,Flask,AvgCellCount,CellsPermL,CellsPerL,AvgResp_umol_L_min,AvgGP_umol_L_min,AvgNP_umol_L_min,AvgRespPer1000Cell,AvgGPPer1000Cell,AvgNPPer1000Cell
26,CCMP2464,1,102.75,1027500,1027500000,-1.12965,4.0533,5.6611,-1.10E-06,3.94E-06,5.51E-06
26,CCMP2464,2,136.5,1365000,1365000000,-1.61585,4.6083,6.3343,-1.18E-06,3.38E-06,4.64E-06
26,CCMP2464,3,146.75,1467500,1467500000,-1.2599,4.9796,6.3092,-8.59E-07,3.39E-06,4.30E-06
26,CCMP2464,4,127,1270000,1270000000,-1.6543,5.1057,7.0815,-1.30E-06,4.02E-06,5.58E-06
26,CCMP2458,1,110.75,1107500,1107500000,-0.630635,3.5417,4.4741,-5.69E-07,3.20E-06,4.04E-06
26,CCMP2458,2,112.75,1127500,1127500000,-0.84865,4.5242,5.4887,-7.53E-07,4.01E-06,4.87E-06
26,CCMP2458,3,134.75,1347500,1347500000,-0.51895,3.7486,4.4536,-3.85E-07,2.78E-06,3.31E-06
26,CCMP2458,4,156.75,1567500,1567500000,-0.71435,4.4684,5.2272,-4.56E-07,2.85E-06,3.33E-06
26,FLCass,1,95.75,957500,957500000,-1.3124,5.635,7.502,-1.37E-06,5.89E-06,7.83E-06
26,FLCass,2,127.25,1272500,1272500000,-1.24735,6.1874,7.6587,-9.80E-07,4.86E-06,6.02E-06
26,FLCass,3,132,1320000,1320000000,-1.839675,4.6145,6.807725,-1.39E-06,3.50E-06,5.16E-06
26,FLCass,4,120,1200000,1200000000,-2.602925,3.745,6.473125,-2.17E-06,3.12E-06,5.39E-06
26,RT362,1,136.75,1367500,1367500000,-1.415775,3.5249,5.155825,-1.04E-06,2.58E-06,3.77E-06
26,RT362,2,88,880000,880000000,-1.568475,3.5792,5.217925,-1.78E-06,4.07E-06,5.93E-06
26,RT362,3,135.25,1352500,1352500000,-1.647875,3.9713,5.679825,-1.22E-06,2.94E-06,4.20E-06
26,RT362,4,155.75,1557500,1557500000,-1.653775,3.8528,5.672425,-1.06E-06,2.47E-06,3.64E-06
26,KB8,1,133.25,1332500,1332500000,-1.311225,1.7104,3.017325,-9.84E-07,1.28E-06,2.26E-06
26,KB8,2,126.5,1265000,1265000000,-1.395325,1.5532,2.816125,-1.10E-06,1.23E-06,2.23E-06
26,KB8,3,145.5,1455000,1455000000,-1.329675,1.551,2.965125,-9.14E-07,1.07E-06,2.04E-06
26,KB8,4,144.5,1445000,1445000000,-1.395675,1.4678,2.842925,-9.66E-07,1.02E-06,1.97E-06
30,CCMP2464,1,118.75,1187500,1187500000,-1.1531,2.8564,4.1632,-9.71E-07,2.41E-06,3.51E-06
30,CCMP2464,2,135.75,1357500,1357500000,-1.1083,2.6145,3.8208,-8.16E-07,1.93E-06,2.81E-06
30,CCMP2464,3,135.75,1357500,1357500000,-1.4654,2.3144,3.78,-1.08E-06,1.70E-06,2.78E-06
30,CCMP2464,4,137.75,1377500,1377500000,-1.1806,2.8123,3.9982,-8.57E-07,2.04E-06,2.90E-06
30,CCMP2458,1,165.25,1652500,1652500000,-0.87805,2.4297,3.242,-5.31E-07,1.47E-06,1.96E-06
30,CCMP2458,2,144.5,1445000,1445000000,-1.01495,2.5669,3.6167,-7.02E-07,1.78E-06,2.50E-06
30,CCMP2458,3,150,1500000,1500000000,-0.8755,2.6392,3.4596,-5.84E-07,1.76E-06,2.31E-06
30,CCMP2458,4,151,1510000,1510000000,-0.73075,2.0001,2.7685,-4.84E-07,1.32E-06,1.83E-06
30,FLCass,1,137.25,1372500,1372500000,-1.2081,2.8276,4.1319,-8.80E-07,2.06E-06,3.01E-06
30,FLCass,2,94,940000,940000000,-1.38345,3.1235,4.3017,-1.47E-06,3.32E-06,4.58E-06
30,FLCass,3,170.25,1702500,1702500000,-0.585875,2.730775,3.2615,-3.44E-07,1.60E-06,1.92E-06
30,FLCass,4,139,1390000,1390000000,-1.160925,3.500975,4.5984,-8.35E-07,2.52E-06,3.31E-06
30,RT362,1,134.25,1342500,1342500000,-0.537825,2.693575,3.4089,-4.01E-07,2.01E-06,2.54E-06
30,RT362,2,141.75,1417500,1417500000,-1.221225,3.392875,4.5896,-8.62E-07,2.39E-06,3.24E-06
30,RT362,3,127.5,1275000,1275000000,-1.029075,3.087575,4.5568,-8.07E-07,2.42E-06,3.57E-06
30,RT362,4,132,1320000,1320000000,-1.180975,3.102275,4.3059,-8.95E-07,2.35E-06,3.26E-06
30,KB8,1,142.5,1425000,1425000000,-0.559975,1.799375,2.5958,-3.93E-07,1.26E-06,1.82E-06
30,KB8,2,148.75,1487500,1487500000,-0.782025,2.472375,3.3684,-5.26E-07,1.66E-06,2.26E-06
30,KB8,3,122.5,1225000,1225000000,-0.768725,1.694075,2.7873,-6.28E-07,1.38E-06,2.28E-06
30,KB8,4,128,1280000,1280000000,-0.262975,1.382975,1.5939,-2.05E-07,1.08E-06,1.25E-06
32,CCMP2464,1,132,1320000,1320000000,-0.634075,1.8167,2.421175,-4.80E-07,1.38E-06,1.83E-06
32,CCMP2464,2,161.25,1612500,1612500000,-1.065575,1.9708,2.828175,-6.61E-07,1.22E-06,1.75E-06
32,CCMP2464,3,156.75,1567500,1567500000,-0.594575,1.4571,1.976775,-3.79E-07,9.30E-07,1.26E-06
32,CCMP2464,4,165,1650000,1650000000,-1.661425,2.5418,3.604275,-1.01E-06,1.54E-06,2.18E-06
32,CCMP2458,1,109.75,1097500,1097500000,-0.820825,2.0708,2.543775,-7.48E-07,1.89E-06,2.32E-06
32,CCMP2458,2,101.25,1012500,1012500000,-0.629125,2.0489,2.540175,-6.21E-07,2.02E-06,2.51E-06
32,CCMP2458,3,79.5,795000,795000000,-1.269425,3.112,4.396075,-1.60E-06,3.91E-06,5.53E-06
32,CCMP2458,4,98,980000,980000000,-0.619925,2.1743,2.564775,-6.33E-07,2.22E-06,2.62E-06
32,FLCass,1,161.5,1615000,1615000000,-1.107525,2.4699,3.195075,-6.86E-07,1.53E-06,1.98E-06
32,FLCass,2,144,1440000,1440000000,-0.702525,2.9365,3.535575,-4.88E-07,2.04E-06,2.46E-06
32,FLCass,3,152.5,1525000,1525000000,-0.716825,2.364725,2.92705,-4.70E-07,1.55E-06,1.92E-06
32,FLCass,4,140,1400000,1400000000,-0.687975,1.845825,2.50305,-4.91E-07,1.32E-06,1.79E-06
32,RT362,1,92.75,927500,927500000,-0.570575,2.368625,2.91415,-6.15E-07,2.55E-06,3.14E-06
32,RT362,2,121.75,1217500,1217500000,-0.621675,1.982625,2.58485,-5.11E-07,1.63E-06,2.12E-06
