Temperature,Genotype,Flask,RespirationPer10000cells,GrossPhotoPer10000cells,NetPhotoPer10000cells,AvgResp,AvgGP,AvgNP
26,RT362,1,-0.0313,0.0388,0.0701,-0.028498638,0.034501362,0.063
26,RT362,2,-0.0277,0.0456,0.0732,-0.025293843,0.044315074,0.069608917
26,RT362,3,-0.0233,0.0344,0.0577,-0.023457744,0.035249331,0.058707075
26,RT362,4,-0.0196,0.0302,0.0498,-0.019285009,0.029024668,0.048309677
26,CCMP2464,1,-0.02788503,0.046821557,0.074706587,-0.032159281,0.053072455,0.085231737
26,CCMP2464,2,-0.028887755,0.047504082,0.076391837,-0.032083673,0.051826531,0.083910204
26,CCMP2464,3,-0.039642105,0.062090402,0.101732508,-0.037639009,0.060915789,0.098554799
26,CCMP2464,4,-0.020312442,0.033548387,0.053860829,-0.022312903,0.036108295,0.058421198
26,CCMP2458,1,-0.012593258,0.015266774,0.027860032,-0.011544783,0.013717817,0.0252626
26,CCMP2458,2,-0.015854174,0.012915162,0.028769336,-0.009954344,0.01565724,0.025611584
26,CCMP2458,3,-0.015434579,0.023611215,0.039045794,-0.016057944,0.02391729,0.039975234
26,CCMP2458,4,-0.016367568,0.022765602,0.03913317,-0.015093366,0.02173317,0.036826536
26,FLCass,1,-0.03238022,0.109712088,0.142092308,-0.033067033,0.103059341,0.136126374
26,FLCass,2,-0.030048133,0.09820083,0.128248963,-0.029051452,0.098119502,0.127170954
26,FLCass,3,-0.031916667,0.088756061,0.120672727,-0.031350758,0.083072727,0.114423485
26,FLCass,4,-0.038097071,0.084810042,0.122907113,-0.038159833,0.090229289,0.128389121
26,KB8,1,-0.015585892,0.028883817,0.04446971,-0.016216183,0.030372614,0.046588797
26,KB8,2,-0.016902069,0.035777471,0.05267954,-0.017498391,0.038050115,0.055548506
26,KB8,3,-0.041512,0.074641333,0.116153333,-0.039458667,0.069146,0.108604667
26,KB8,4,-0.023025243,0.033463107,0.05648835,-0.021781068,0.034612136,0.056393204
30,RT362,1,-0.005524767,0.025523277,0.031048045,-0.003991434,0.024460708,0.028452142
