Date,Temp,Plate,WellNum,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto
20-Jan-20,26,556,B1,0.1467,0.4398,-0.0317,0.03125,0.06295
20-Jan-20,26,556,B2,0.162,0.4813,-0.0164,0.07275,0.08915
20-Jan-20,26,556,B3,0.1688,0.4643,-0.0096,0.05575,0.06535
20-Jan-20,26,556,B4,0.1717,0.4307,-0.0067,0.02215,0.02885
20-Jan-20,26,556,B5,0.2169,0.4026,0.0385,-0.00595,-0.04445
20-Jan-20,26,556,B6,0.1735,0.2931,-0.0049,-0.11545,-0.11055
20-Jan-20,26,556,B7,0.1801,0.9642,0.0017,0.55565,0.55395
20-Jan-20,26,556,B8,0.1956,0.3455,0.0172,-0.06305,-0.08025
20-Jan-20,26,556,B9,0.1587,0.2947,-0.0197,-0.11385,-0.09415
20-Jan-20,26,556,B10,0.1907,0.2622,0.0123,-0.14635,-0.15865
20-Jan-20,26,556,B11,0.1804,0.3473,0.002,-0.06125,-0.06325
20-Jan-20,26,556,B12,0.1957,0.1769,0.0173,-0.23165,-0.24895
20-Jan-20,26,564,B13,0.1334,0.4748,-0.007175,0.024666667,0.031841667
20-Jan-20,26,564,B14,0.1305,0.5134,-0.010075,0.063266667,0.073341667
20-Jan-20,26,564,B15,0.1507,0.5493,0.010125,0.099166667,0.089041667
20-Jan-20,26,564,B16,0.1254,0.4707,-0.015175,0.020566667,0.035741667
20-Jan-20,26,564,B17,0.128,0.4702,-0.012575,0.020066667,0.032641667
20-Jan-20,26,564,B18,0.1574,0.4497,0.016825,-0.000433333,-0.017258333
20-Jan-20,26,564,B19,0.1262,0.388,-0.014375,-0.062133333,-0.047758333
20-Jan-20,26,564,B20,0.1279,0.4472,-0.012675,-0.002933333,0.009741667
20-Jan-20,26,564,B21,0.1601,0.4599,0.019525,0.009766667,-0.009758333
20-Jan-20,26,564,B22,0.1533,0.4442,0.012725,-0.005933333,-0.018658333
20-Jan-20,26,564,B23,0.1437,0.3662,0.003125,-0.083933333,-0.087058333
20-Jan-20,26,564,B24,0.1503,0.368,0.009725,-0.082133333,-0.091858333
20-Jan-20,26,565,B25,0.138,0.4857,-0.061091667,0.09885,0.159941667
20-Jan-20,26,565,B26,0.1734,0.5186,-0.025691667,0.13175,0.157441667
20-Jan-20,26,565,B27,0.1666,0.4426,-0.032491667,0.05575,0.088241667
20-Jan-20,26,565,B28,0.1998,0.4912,0.000708333,0.10435,0.103641667
20-Jan-20,26,565,B29,0.1876,0.3799,-0.011491667,-0.00695,0.004541667
20-Jan-20,26,565,B30,0.2152,0.372,0.016108333,-0.01485,-0.030958333
20-Jan-20,26,565,B31,0.2049,0.3661,0.005808333,-0.02075,-0.026558333
20-Jan-20,26,565,B32,0.2193,0.2729,0.020208333,-0.11395,-0.134158333
20-Jan-20,26,565,B33,0.2082,0.3946,0.009108333,0.00775,-0.001358333
20-Jan-20,26,565,B34,0.2374,0.3771,0.038308333,-0.00975,-0.048058333
20-Jan-20,26,565,B35,0.1778,0.365,-0.021291667,-0.02185,-0.000558333
20-Jan-20,26,565,B36,0.2609,0.1765,0.061808333,-0.21035,-0.272158333
20-Jan-20,30,556,B37,0.3781,0.5593,0.003991667,0.0953,0.091308333
20-Jan-20,30,556,B38,0.369,0.5744,-0.005108333,0.1104,0.115508333
20-Jan-20,30,556,B39,0.3516,0.519,-0.022508333,0.055,0.077508333
20-Jan-20,30,556,B40,0.3668,0.6301,-0.007308333,0.1661,0.173408333
20-Jan-20,30,556,B41,0.383,0.4838,0.008891667,0.0198,0.010908333
20-Jan-20,30,556,B42,0.3784,0.5234,0.004291667,0.0594,0.055108333
20-Jan-20,30,556,B43,0.4178,0.4629,0.043691667,-0.0011,-0.044791667
20-Jan-20,30,556,B44,0.3934,0.3001,0.019291667,-0.1639,-0.183191667
20-Jan-20,30,556,B45,0.3922,0.4258,0.018091667,-0.0382,-0.056291667
20-Jan-20,30,556,B46,0.3413,0.5089,-0.032808333,0.0449,0.077708333
20-Jan-20,30,556,B47,0.3734,0.3115,-0.000708333,-0.1525,-0.151791667
20-Jan-20,30,556,B48,0.3443,0.2688,-0.029808333,-0.1952,-0.165391667
20-Jan-20,30,564,B49,0.3922,0.5143,0.022666667,0.091958333,0.069291667
20-Jan-20,30,564,B50,0.3717,0.4834,0.002166667,0.061058333,0.058891667
20-Jan-20,30,564,B51,0.3737,0.4797,0.004166667,0.057358333,0.053191667
20-Jan-20,30,564,B52,0.3869,0.4293,0.017366667,0.006958333,-0.010408333
20-Jan-20,30,564,B53,0.3949,0.4657,0.025366667,0.043358333,0.017991667
20-Jan-20,30,564,B54,0.4389,0.4463,0.069366667,0.023958333,-0.045408333
20-Jan-20,30,564,B55,0.3344,0.3866,-0.035133333,-0.035741667,-0.000608333
20-Jan-20,30,564,B56,0.4249,0.4385,0.055366667,0.016158333,-0.039208333
20-Jan-20,30,564,B57,0.3565,0.3984,-0.013033333,-0.023941667,-0.010908333
20-Jan-20,30,564,B58,0.3687,0.4035,-0.000833333,-0.018841667,-0.018008333
20-Jan-20,30,564,B59,0.2935,0.2642,-0.076033333,-0.158141667,-0.082108333
20-Jan-20,30,564,B60,0.2981,0.3582,-0.071433333,-0.064141667,0.007291667
20-Jan-20,30,565,B61,0.5208,0.5241,0.029658333,0.039316667,0.009658333
20-Jan-20,30,565,B62,0.4647,0.4988,-0.026441667,0.014016667,0.040458333
20-Jan-20,30,565,B63,0.5301,0.4748,0.038958333,-0.009983333,-0.048941667
20-Jan-20,30,565,B64,0.4247,0.5564,-0.066441667,0.071616667,0.138058333
20-Jan-20,30,565,B65,0.4773,0.4891,-0.013841667,0.004316667,0.018158333
20-Jan-20,30,565,B66,0.3998,0.5661,-0.091341667,0.081316667,0.172658333
20-Jan-20,30,565,B67,0.5313,0.4689,0.040158333,-0.015883333,-0.056041667
20-Jan-20,30,565,B68,0.4332,0.6623,-0.057941667,0.177516667,0.235458333
20-Jan-20,30,565,B69,0.5367,0.4209,0.045558333,-0.063883333,-0.109441667
20-Jan-20,30,565,B70,0.5343,0.4899,0.043158333,0.005116667,-0.038041667
20-Jan-20,30,565,B71,0.4974,0.3182,0.006258333,-0.166583333,-0.172841667
20-Jan-20,30,565,B72,0.5434,0.3479,0.052258333,-0.136883333,-0.189141667
21-Jan-20,26,556,B73,0.0942,0.4381,0.003766667,0.118408333,0.114641667
21-Jan-20,26,556,B74,0.0902,0.3942,-0.000233333,0.074508333,0.074741667
21-Jan-20,26,556,B75,0.0871,0.3579,-0.003333333,0.038208333,0.041541667
21-Jan-20,26,556,B76,0.0857,0.3417,-0.004733333,0.022008333,0.026741667
21-Jan-20,26,556,B77,0.0899,0.3563,-0.000533333,0.036608333,0.037141667
21-Jan-20,26,556,B78,0.0919,0.201,0.001466667,-0.118691667,-0.120158333
21-Jan-20,26,556,B79,0.0941,0.3096,0.003666667,-0.010091667,-0.013758333
21-Jan-20,26,556,B80,0.072,0.2189,-0.018433333,-0.100791667,-0.082358333
21-Jan-20,26,556,B81,0.0867,0.2711,-0.003733333,-0.048591667,-0.044858333
21-Jan-20,26,556,B82,0.09,0.2368,-0.000433333,-0.082891667,-0.082458333
21-Jan-20,26,556,B83,0.1014,0.3082,0.010966667,-0.011491667,-0.022458333
21-Jan-20,26,556,B84,0.102,0.4025,0.011566667,0.082808333,0.071241667
21-Jan-20,26,564,B85,0.066,0.5412,-0.036441667,0.1196,0.156041667
21-Jan-20,26,564,B86,0.1175,0.474,0.015058333,0.0524,0.037341667
21-Jan-20,26,564,B87,0.0947,0.4439,-0.007741667,0.0223,0.030041667
21-Jan-20,26,564,B88,0.1012,0.4481,-0.001241667,0.0265,0.027741667
21-Jan-20,26,564,B89,0.091,0.3927,-0.011441667,-0.0289,-0.017458333
21-Jan-20,26,564,B90,0.1046,0.4108,0.002158333,-0.0108,-0.012958333
21-Jan-20,26,564,B91,0.0928,0.3821,-0.009641667,-0.0395,-0.029858333
21-Jan-20,26,564,B92,0.1036,0.3937,0.001158333,-0.0279,-0.029058333
21-Jan-20,26,564,B93,0.101,0.4013,-0.001441667,-0.0203,-0.018858333
21-Jan-20,26,564,B94,0.118,0.3964,0.015558333,-0.0252,-0.040758333
21-Jan-20,26,564,B95,0.104,0.4113,0.001558333,-0.0103,-0.011858333
21-Jan-20,26,564,B96,0.1349,0.3637,0.032458333,-0.0579,-0.090358333
21-Jan-20,26,565,B97,0.1647,0.3594,-0.000383333,0.075541667,0.075925
21-Jan-20,26,565,B98,0.1445,0.3324,-0.020583333,0.048541667,0.069125
21-Jan-20,26,565,B99,0.1588,0.3115,-0.006283333,0.027641667,0.033925
21-Jan-20,26,565,B100,0.1611,0.3328,-0.003983333,0.048941667,0.052925
21-Jan-20,26,565,B101,0.1713,0.2714,0.006216667,-0.012458333,-0.018675
21-Jan-20,26,565,B102,0.1817,0.3019,0.016616667,0.018041667,0.001425
21-Jan-20,26,565,B103,0.1909,0.2828,0.025816667,-0.001058333,-0.026875
21-Jan-20,26,565,B104,0.1694,0.2078,0.004316667,-0.076058333,-0.080375
21-Jan-20,26,565,B105,0.1773,0.3,0.012216667,0.016141667,0.003925
21-Jan-20,26,565,B106,0.16,0.2454,-0.005083333,-0.038458333,-0.033375
21-Jan-20,26,565,B107,0.1801,0.232,0.015016667,-0.051858333,-0.066875
21-Jan-20,26,565,B108,0.1212,0.2289,-0.043883333,-0.054958333,-0.011075
21-Jan-20,30,556,B109,0.2108,0.4244,-0.040916667,0.111875,0.152791667
21-Jan-20,30,556,B110,0.2311,0.2807,-0.020616667,-0.031825,-0.011208333
21-Jan-20,30,556,B111,0.282,0.3769,0.030283333,0.064375,0.034091667
21-Jan-20,30,556,B112,0.2814,0.3249,0.029683333,0.012375,-0.017308333
21-Jan-20,30,556,B113,0.3164,0.3798,0.064683333,0.067275,0.002591667
21-Jan-20,30,556,B114,0.2619,0.3411,0.010183333,0.028575,0.018391667
21-Jan-20,30,556,B115,0.2569,0.3666,0.005183333,0.054075,0.048891667
21-Jan-20,30,556,B116,0.2747,0.1352,0.022983333,-0.177325,-0.200308333
21-Jan-20,30,556,B117,0.2386,0.3478,-0.013116667,0.035275,0.048391667
21-Jan-20,30,556,B118,0.2433,0.2773,-0.008416667,-0.035225,-0.026808333
21-Jan-20,30,556,B119,0.1881,0.2439,-0.063616667,-0.068625,-0.005008333
21-Jan-20,30,556,B120,0.2354,0.2517,-0.016316667,-0.060825,-0.044508333
