"WellNum","Date","Genotype","Temp","Plate","Resp.per.bill.cell","GP.per.bill.cell","NP.per.bill.cell"
"c14","21-Jan","Aposymbiotic","26","3",-89.0101006060606,-41.565656969697,47.4444448484848
"15","21-Jan","CCMP2458","26","3",20.803418974359,94.3632476923077,73.5598292307692
"c17","21-Jan","Aposymbiotic","26","3",-106.139359548023,39.0094160451977,145.148776045198
"16","21-Jan","CCMP2458","26","3",-175.944444166667,-178.493055833333,-2.54861083333333
"c18","21-Jan","Aposymbiotic","26","3",-42.0810456470588,-64.813072,-22.7320260392157
"18","21-Jan","CCMP2458","26","3",-131.777777333333,-118.788889333333,12.9888893333333
"c20","21-Jan","Aposymbiotic","26","4",-33.4074072222222,-67.6064816666667,-34.1990738888889
"20","21-Jan","CCMP2458","26","4",-85.232323030303,-119.631313333333,-34.3989896969697
"22","21-Jan","CCMP2458","26","4",-59.5920851141552,-32.0700153424658,27.5220701369863
"c23","21-Jan","Aposymbiotic","26","4",-50.8860027705628,0.799422683982684,51.6854258008658
"24","21-Jan","CCMP2458","26","4",-44.2828278787879,-71.3838387878788,-27.1010096969697
"27","20-Jan","CCMP2464","26","1",-157.78640776699,22.3754045307443,180.161812297735
"52","20-Jan","FLCass","26","1",-32.1120448179272,-14.3081232492997,17.8039215686275
"28","20-Jan","CCMP2464","26","1",-65,-56.5,8.5
"29","20-Jan","CCMP2464","26","1",-119.207729468599,-65.4589371980676,53.7487922705314
"54","20-Jan","FLCass","26","1",-0.475743348982786,-0.0187793427230047,0.456964006259781
"32","20-Jan","CCMP2464","26","2",-0.265010351966874,-7.44513457556936,-7.18012422360248
"56","20-Jan","FLCass","26","2",-26.3703703703704,-27.019943019943,-0.64957264957265
"33","20-Jan","CCMP2464","26","2",-47.7777777777778,83.3703703703704,131.148148148148
"57","20-Jan","FLCass","26","2",-39.4358974358974,-47.474358974359,-8.03846153846154
"34","20-Jan","CCMP2464","26","2",-31.3953488372093,20.0387596899225,51.4341085271318
"60","20-Jan","FLCass","26","2",-20.6495726495726,-16.1253561253561,4.52421652421652
"c1","20-Jan","Aposymbiotic","26","1",-80.0344827586207,18.6973181609195,98.7318009195402
"2","20-Jan","CCMP2458","26","1",-29.7956204379562,35.497161459854,65.2927818978102
