"WellNum","Date","DarkSlope","LightSlope","Respiration","GrossPhoto","NetPhoto","Count1","Count2","PicDate","PictureNum","Area","Genotype","Temp","Plate","Day.Dead","Survive.to.End","Days.to.Inoculation","Days.to.Strobilation","Days.to.Ephyra","Total.Buds","Total.Ephyra.Produced","Notes","avgct","cells.per.mL","cells.per.polyp","cells.per.area","Resp.per.cell.density","Resp","GP.per.cell.density","GP","NP.per.cell.density","NP","Resp.per.cell","Resp.per.bill.cell","GP.per.cell","GP.per.bill.cell","NP.per.cell","NP.per.bill.cell"
"c14","21-Jan",0.017,0.2854,-0.073433333,-0.034291667,0.039141667,13,9,"21-Jan",77,0.602,"Aposymbiotic",26,3,NA,"Yes",NA,NA,NA,6,0,"",11,110000,16500000,27408637.8737542,-2.67920402824242e-09,-2.67920402824242,-1.25112627478788e-09,-1.25112627478788,1.42807778993939e-09,1.42807778993939,-4.45050503030303e-09,-4.45050503030303,-2.07828284848485e-09,-2.07828284848485,2.37222224242424e-09,2.37222224242424
"15","21-Jan",0.131,0.5037,0.040566667,0.184008333,0.143441667,17,35,"21-Jan",83,0.584,"CCMP2458",26,3,NA,"Yes",16,NA,NA,4,0,"",26,260000,3.9e+07,66780821.9178082,6.07459834051282e-10,0.607459834051282,2.75540683261538e-09,2.75540683261538,2.14794701353846e-09,2.14794701353846,1.04017094871795e-09,1.04017094871795,4.71816238461538e-09,4.71816238461538,3.67799146153846e-09,3.67799146153846
"c17","21-Jan",-0.1444,0.406,-0.234833333,0.086308333,0.321141667,22,37,"21-Jan",78,0.691,"Aposymbiotic",26,3,NA,"Yes",NA,NA,NA,2,0,"",29.5,295000,44250000,64037626.6280753,-3.66711487238418e-09,-3.66711487238418,1.34777532436158e-09,1.34777532436158,5.01489021236158e-09,5.01489021236158,-5.30696797740113e-09,-5.30696797740113,1.95047080225989e-09,1.95047080225989,7.25743880225989e-09,7.25743880225989
"16","21-Jan",-0.1207,0.1055,-0.211133333,-0.214191667,-0.003058333,14,18,"21-Jan",84,0.601,"CCMP2458",26,3,NA,"Yes",22,NA,NA,3,0,"",16,160000,2.4e+07,39933444.2595674,-5.28713054720833e-09,-5.28713054720833,-5.36371632779167e-09,-5.36371632779167,-7.65857555416667e-11,-0.0765857555416667,-8.79722220833333e-09,-8.79722220833333,-8.92465279166667e-09,-8.92465279166667,-1.27430541666667e-10,-0.127430541666667
"c18","21-Jan",-0.0437,0.1131,-0.134133333,-0.206591667,-0.072458333,37,48,"21-Jan",79,1.118,"Aposymbiotic",26,3,NA,"Yes",NA,NA,NA,6,0,"",42.5,425000,63750000,57021466.9051878,-2.35233045167059e-09,-2.35233045167059,-3.6230507248e-09,-3.6230507248,-1.27072025559216e-09,-1.27072025559216,-2.10405228235294e-09,-2.10405228235294,-3.2406536e-09,-3.2406536,-1.13660130196078e-09,-1.13660130196078
"18","21-Jan",-0.0084,0.2306,-0.098833333,-0.089091667,0.009741667,10,10,"21-Jan",85,0.255,"CCMP2458",26,3,NA,"Yes",12,14,16,1,1,"",10,1e+05,1.5e+07,58823529.4117647,-1.680166661e-09,-1.680166661,-1.514558339e-09,-1.514558339,1.65608339e-10,0.165608339,-6.58888886666667e-09,-6.58888886666667,-5.93944446666667e-09,-5.93944446666667,6.49444466666667e-10,0.649444466666667
"c20","21-Jan",0.0303,0.198,-0.060133333,-0.121691667,-0.061558333,27,21,"21-Jan",80,0.895,"Aposymbiotic",26,4,NA,"Yes",NA,NA,NA,5,0,"",24,240000,3.6e+07,40223463.6871508,-1.49498147319444e-09,-1.49498147319444,-3.02539005458333e-09,-3.02539005458333,-1.53040855652778e-09,-1.53040855652778,-1.67037036111111e-09,-1.67037036111111,-3.38032408333333e-09,-3.38032408333333,-1.70995369444444e-09,-1.70995369444444
"20","21-Jan",-0.0502,0.1223,-0.140633333,-0.197391667,-0.056758333,20,24,"21-Jan",86,0.476,"CCMP2458",26,4,NA,"Yes",20,NA,NA,2,0,"",22,220000,3.3e+07,69327731.092437,-2.02852928812121e-09,-2.02852928812121,-2.84722525733333e-09,-2.84722525733333,-8.18695954787879e-10,-0.818695954787879,-4.26161615151515e-09,-4.26161615151515,-5.98156566666667e-09,-5.98156566666667,-1.71994948484848e-09,-1.71994948484848
"22","21-Jan",-0.0727,0.2319,-0.163133333,-0.087791667,0.075341667,35,38,"21-Jan",87,0.783,"CCMP2458",26,4,NA,"Yes",20,NA,NA,1,0,"",36.5,365000,54750000,69923371.6475096,-2.33303013221918e-09,-2.33303013221918,-1.25554110065753e-09,-1.25554110065753,1.07748904586301e-09,1.07748904586301,-2.97960425570776e-09,-2.97960425570776,-1.60350076712329e-09,-1.60350076712329,1.37610350684932e-09,1.37610350684932
"c23","21-Jan",-0.0565,0.322,-0.146933333,0.002308333,0.149241667,36,41,"21-Jan",82,1.021,"Aposymbiotic",26,4,NA,"Yes",NA,NA,NA,7,0,"",38.5,385000,57750000,56562193.927522,-2.59773044143723e-09,-2.59773044143723,4.0810528017316e-11,0.040810528017316,2.6385409871342e-09,2.6385409871342,-2.54430013852814e-09,-2.54430013852814,3.99711341991342e-11,0.0399711341991342,2.58427129004329e-09,2.58427129004329
"24","21-Jan",0.0539,0.2608,-0.036533333,-0.058891667,-0.022358333,11,11,"21-Jan",88,0.197,"CCMP2458",26,4,NA,"Yes",12,14,17,4,1,"",11,110000,16500000,83756345.177665,-4.36185854606061e-10,-0.436185854606061,-7.03130812060606e-10,-0.703130812060606,-2.66944945515152e-10,-0.266944945515152,-2.21414139393939e-09,-2.21414139393939,-3.56919193939394e-09,-3.56919193939394,-1.35505048484848e-09,-1.35505048484848
"27","20-Jan",-1.0405,0.5814,-1.0405,0.5814,1.6219,95,111,"20-Jan",13,0.957,"CCMP2464",26,1,NA,"Yes",26,NA,NA,0,0,"",103,1030000,154500000,161442006.269592,-6.44503883495146e-09,-6.44503883495146,3.60129320388349e-09,3.6012932038835,1.00463320388349e-08,10.0463320388349,-6.73462783171521e-09,-6.73462783171521,3.7631067961165e-09,3.7631067961165,1.04977346278317e-08,10.4977346278317
"52","20-Jan",0.0351,0.3447,0.0351,0.3447,0.3096,46,73,"20-Jan",20,0.297,"FLCass",26,1,NA,"Yes",4,11,14,0,1,"",59.5,595000,89250000,300505050.505051,1.16803361344538e-10,0.116803361344538,1.14706890756303e-09,1.14706890756303,1.03026554621849e-09,1.03026554621849,3.9327731092437e-10,0.39327731092437,3.86218487394958e-09,3.86218487394958,3.46890756302521e-09,3.46890756302521
"28","20-Jan",0.1199,0.3577,0.1199,0.3577,0.2378,12,12,"20-Jan",14,0.151,"CCMP2464",26,1,NA,"Yes",20,22,26,7,1,"",12,120000,1.8e+07,119205298.013245,1.00582777777778e-09,1.00582777777778,3.00070555555556e-09,3.00070555555556,1.99487777777778e-09,1.99487777777778,6.66111111111111e-09,6.66111111111111,1.98722222222222e-08,19.8722222222222,1.32111111111111e-08,13.2111111111111
"29","20-Jan",-0.4385,0.0698,-0.4385,0.0698,0.5083,58,80,"20-Jan",15,0.798,"CCMP2464",26,1,NA,"Yes",24,NA,NA,4,0,"",69,690000,103500000,129699248.120301,-3.38089855072464e-09,-3.38089855072464,5.38168115942029e-10,0.538168115942029,3.91906666666667e-09,3.91906666666667,-4.23671497584541e-09,-4.23671497584541,6.743961352657e-10,0.6743961352657,4.91111111111111e-09,4.91111111111111
"54","20-Jan",0.1746,0.4084,0.1746,0.4084,0.2338,103,110,"20-Jan",22,0.945,"FLCass",26,1,NA,"Yes",6,11,17,0,1,"",106.5,1065000,159750000,169047619.047619,1.03284507042254e-09,1.03284507042254,2.41588732394366e-09,2.41588732394366,1.38304225352113e-09,1.38304225352113,1.09295774647887e-09,1.09295774647887,2.55649452269171e-09,2.55649452269171,1.46353677621283e-09,1.46353677621283
