Date,Round,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density_cellspermL,Densityx10000,
5/20/2019,MayJune,1,26,FLCass,1,0,24,27,23,22,28,28,25,28,,,25.625,28472.222,2.847,
5/20/2019,MayJune,1,26,FLCass,2,0,20,23,26,20,25,27,17,14,28,25,22.5,25000.000,2.500,
5/20/2019,MayJune,1,26,FLCass,3,0,12,15,17,17,13,17,17,15,,,15.375,17083.333,1.708,
5/20/2019,MayJune,1,26,FLCass,4,0,15,15,18,19,25,26,26,25,,,21.125,23472.222,2.347,
5/20/2019,MayJune,1,26,CCMP2464,1,0,8,7,14,9,,,,,,,9.5,10555.556,1.056,
5/20/2019,MayJune,1,26,CCMP2464,2,0,5,13,13,20,,,,,,,12.75,14166.667,1.417,
5/20/2019,MayJune,1,26,CCMP2464,3,0,20,14,11,9,,,,,,,13.5,15000.000,1.500,
5/20/2019,MayJune,1,26,CCMP2464,4,0,8,12,19,21,,,,,,,15,16666.667,1.667,
5/20/2019,MayJune,1,26,KB8,1,0,8,15,18,8,,,,,,,12.25,13611.111,1.361,
5/20/2019,MayJune,1,26,KB8,2,0,2,3,7,16,,,,,,,7,7777.778,0.778,
5/20/2019,MayJune,1,26,KB8,3,0,8,7,8,7,,,,,,,7.5,8333.333,0.833,
5/20/2019,MayJune,1,26,KB8,4,0,9,12,16,19,,,,,,,14,15555.556,1.556,
5/20/2019,MayJune,1,26,CCMP2458,1,0,14,24,31,23,,,,,,,23,25555.556,2.556,
5/20/2019,MayJune,1,26,CCMP2458,2,0,19,17,32,27,,,,,,,23.75,26388.889,2.639,
5/20/2019,MayJune,1,26,CCMP2458,3,0,20,19,22,22,17,,,,,,20,22222.222,2.222,
5/20/2019,MayJune,1,26,CCMP2458,4,0,15,12,37,27,,,,,,,22.75,25277.778,2.528,
5/20/2019,MayJune,1,26,RT362,1,0,18,18,28,17,,,,,,,20.25,22500.000,2.250,
5/20/2019,MayJune,1,26,RT362,2,0,13,18,19,23,,,,,,,18.25,20277.778,2.028,
5/20/2019,MayJune,1,26,RT362,3,0,18,27,22,18,,,,,,,21.25,23611.111,2.361,
5/20/2019,MayJune,1,26,RT362,4,0,25,17,28,20,,,,,,,22.5,25000.000,2.500,
5/20/2019,MayJune,1,30,CCMP2458,1,0,36,28,24,30,,,,,,,29.5,32777.778,3.278,
5/20/2019,MayJune,1,30,CCMP2458,2,0,27,27,27,37,,,,,,,29.5,32777.778,3.278,
5/20/2019,MayJune,1,30,CCMP2458,3,0,38,41,35,46,,,,,,,40,44444.444,4.444,
5/20/2019,MayJune,1,30,CCMP2458,4,0,27,31,43,35,,,,,,,34,37777.778,3.778,
5/20/2019,MayJune,1,30,CCMP2464,1,0,3,3,6,8,,,,,,,5,5555.556,0.556,
5/20/2019,MayJune,1,30,CCMP2464,2,0,4,12,10,6,,,,,,,8,8888.889,0.889,
5/20/2019,MayJune,1,30,CCMP2464,3,0,11,9,7,8,,,,,,,8.75,9722.222,0.972,
5/20/2019,MayJune,1,30,CCMP2464,4,0,9,3,5,5,,,,,,,5.5,6111.111,0.611,
5/20/2019,MayJune,1,30,RT362,1,0,28,34,28,29,,,,,,,29.75,33055.556,3.306,
5/20/2019,MayJune,1,30,RT362,2,0,43,37,34,40,,,,,,,38.5,42777.778,4.278,
5/20/2019,MayJune,1,30,RT362,3,0,25,35,18,31,38,39,,,,,31,34444.444,3.444,
5/20/2019,MayJune,1,30,RT362,4,0,15,24,27,23,,,,,,,22.25,24722.222,2.472,
5/20/2019,MayJune,1,30,KB8,1,0,14,15,21,21,,,,,,,17.75,19722.222,1.972,
5/20/2019,MayJune,1,30,KB8,2,0,16,19,18,18,,,,,,,17.75,19722.222,1.972,
5/20/2019,MayJune,1,30,KB8,3,0,13,18,27,28,,,,,,,21.5,23888.889,2.389,
5/20/2019,MayJune,1,30,KB8,4,0,11,11,10,15,,,,,,,11.75,13055.556,1.306,
5/20/2019,MayJune,1,30,FLCass,1,0,25,31,26,19,,,,,,,25.25,28055.556,2.806,
5/20/2019,MayJune,1,30,FLCass,2,0,20,24,32,44,,,,,,,30,33333.333,3.333,
5/20/2019,MayJune,1,30,FLCass,3,0,35,41,45,47,,,,,,,42,46666.667,4.667,
5/20/2019,MayJune,1,30,FLCass,4,0,20,30,43,46,,,,,,,34.75,38611.111,3.861,
5/20/2019,MayJune,1,32,CCMP2458,1,0,5,8,9,15,8,,,,,,9,10000.000,1.000,
5/20/2019,MayJune,1,32,CCMP2458,2,0,12,11,14,13,,,,,,,12.5,13888.889,1.389,
5/20/2019,MayJune,1,32,CCMP2458,3,0,14,11,14,14,,,,,,,13.25,14722.222,1.472,
5/20/2019,MayJune,1,32,CCMP2458,4,0,16,11,14,3,,,,,,,11,12222.222,1.222,
5/20/2019,MayJune,1,32,CCMP2464,1,0,8,19,9,5,14,12,,,,,11.16666667,12407.407,1.241,
5/20/2019,MayJune,1,32,CCMP2464,2,0,3,8,7,6,,,,,,,6,6666.667,0.667,
5/20/2019,MayJune,1,32,CCMP2464,3,0,8,9,2,7,,,,,,,6.5,7222.222,0.722,
5/20/2019,MayJune,1,32,CCMP2464,4,0,5,10,11,7,,,,,,,8.25,9166.667,0.917,
5/20/2019,MayJune,1,32,RT362,1,0,13,17,10,8,,,,,,,12,13333.333,1.333,
