Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,Average,Density_cellspermL,Densityx10000,Counter
7/12/2019,1,26,KB8,1,0,17,13,18,16,16,17777.778,1.778,JM
7/12/2019,1,26,KB8,2,0,9,10,12,10,10.25,11388.889,1.139,JM
7/12/2019,1,26,KB8,3,0,19,16,14,14,15.75,17500.000,1.750,JM
7/12/2019,1,26,KB8,4,0,23,12,18,15,17,18888.889,1.889,LG
7/12/2019,1,26,CCMP2458,1,0,23,28,21,32,26,28888.889,2.889,LG
7/12/2019,1,26,CCMP2458,2,0,20,12,16,21,17.25,19166.667,1.917,LG
7/12/2019,1,26,CCMP2458,3,0,16,21,22,23,20.5,22777.778,2.278,LG
7/12/2019,1,26,CCMP2458,4,0,21,21,19,16,19.25,21388.889,2.139,LG
7/12/2019,1,26,FLCass,1,,,,,,,,,
7/12/2019,1,26,FLCass,2,0,14,17,9,13,13.25,14722.222,1.472,LG
7/12/2019,1,26,FLCass,3,0,13,23,18,16,17.5,19444.444,1.944,LG
7/12/2019,1,26,FLCass,4,0,6,7,12,12,9.25,10277.778,1.028,LG
7/12/2019,1,26,RT362,1,0,46,30,46,27,37.25,41388.889,4.139,LG
7/12/2019,1,26,RT362,2,0,25,29,23,41,29.5,32777.778,3.278,JM
7/12/2019,1,26,RT362,3,0,33,25,36,29,30.75,34166.667,3.417,JM
7/12/2019,1,26,RT362,4,0,26,34,23,29,28,31111.111,3.111,JM
7/12/2019,1,26,CCMP2464,1,0,14,19,4,6,10.75,11944.444,1.194,LG
7/12/2019,1,26,CCMP2464,2,0,7,14,8,19,12,13333.333,1.333,LG
7/12/2019,1,26,CCMP2464,3,0,10,12,12,10,11,12222.222,1.222,LG
7/12/2019,1,26,CCMP2464,4,0,11,11,8,14,11,12222.222,1.222,LG
7/12/2019,1,30,KB8,1,0,23,9,20,17,17.25,19166.667,1.917,JM
7/12/2019,1,30,KB8,2,0,24,21,32,23,25,27777.778,2.778,JM
7/12/2019,1,30,KB8,3,0,18,22,23,27,22.5,25000.000,2.500,JM
7/12/2019,1,30,KB8,4,0,30,19,25,32,26.5,29444.444,2.944,JM
7/12/2019,1,30,CCMP2458,1,0,35,25,21,27,27,30000.000,3.000,LG
7/12/2019,1,30,CCMP2458,2,0,20,30,31,21,25.5,28333.333,2.833,LG
7/12/2019,1,30,CCMP2458,3,0,39,29,21,31,30,33333.333,3.333,LG
7/12/2019,1,30,CCMP2458,4,0,29,30,33,31,30.75,34166.667,3.417,LG
7/12/2019,1,30,FLCass,1,0,27,22,27,26,25.5,28333.333,2.833,LG
7/12/2019,1,30,FLCass,2,0,30,37,29,56,38,42222.222,4.222,LG
7/12/2019,1,30,FLCass,3,0,30,24,34,27,28.75,31944.444,3.194,LG
7/12/2019,1,30,FLCass,4,0,29,33,23,37,30.5,33888.889,3.389,LG
7/12/2019,1,30,RT362,1,0,44,55,65,51,53.75,59722.222,5.972,JM
7/12/2019,1,30,RT362,2,0,37,41,46,30,38.5,42777.778,4.278,JM
7/12/2019,1,30,RT362,3,0,35,50,41,34,40,44444.444,4.444,JM
7/12/2019,1,30,RT362,4,0,40,37,46,47,42.5,47222.222,4.722,JM
7/12/2019,1,30,CCMP2464,1,0,17,8,19,21,16.25,18055.556,1.806,LG
7/12/2019,1,30,CCMP2464,2,0,15,18,35,15,20.75,23055.556,2.306,LG
7/12/2019,1,30,CCMP2464,3,0,21,28,29,18,24,26666.667,2.667,LG
7/12/2019,1,30,CCMP2464,4,0,21,20,21,26,22,24444.444,2.444,LG
7/12/2019,1,32,KB8,1,0,18,21,26,14,19.75,21944.444,2.194,JM
7/12/2019,1,32,KB8,2,0,21,20,15,22,19.5,21666.667,2.167,JM
7/12/2019,1,32,KB8,3,0,22,21,30,19,23,25555.556,2.556,JM
7/12/2019,1,32,KB8,4,0,22,37,28,28,28.75,31944.444,3.194,JM
7/12/2019,1,32,CCMP2458,1,0,22,23,24,24,23.25,25833.333,2.583,LG
7/12/2019,1,32,CCMP2458,2,0,20,19,27,25,22.75,25277.778,2.528,LG
7/12/2019,1,32,CCMP2458,3,0,25,32,28,17,25.5,28333.333,2.833,LG
7/12/2019,1,32,CCMP2458,4,0,34,32,19,19,26,28888.889,2.889,LG
7/12/2019,1,32,FLCass,1,0,27,33,45,27,33,36666.667,3.667,LG
7/12/2019,1,32,FLCass,2,0,44,30,32,26,33,36666.667,3.667,LG
7/12/2019,1,32,FLCass,3,0,78,29,31,34,43,47777.778,4.778,LG
7/12/2019,1,32,FLCass,4,0,14,31,32,26,25.75,28611.111,2.861,LG
7/12/2019,1,32,RT362,1,0,25,30,27,29,27.75,30833.333,3.083,JM
7/12/2019,1,32,RT362,2,0,47,40,41,37,41.25,45833.333,4.583,JM
7/12/2019,1,32,RT362,3,0,29,35,34,25,30.75,34166.667,3.417,JM
7/12/2019,1,32,RT362,4,0,38,41,34,30,35.75,39722.222,3.972,JM
7/12/2019,1,32,CCMP2464,1,0,19,17,23,14,18.25,20277.778,2.028,LG
7/12/2019,1,32,CCMP2464,2,0,15,21,19,23,19.5,21666.667,2.167,LG
7/12/2019,1,32,CCMP2464,3,0,20,16,16,22,18.5,20555.556,2.056,LG
7/12/2019,1,32,CCMP2464,4,0,17,26,12,21,19,21111.111,2.111,LG
7/15/2019,4,26,KB8,1,0,69,70,65,67,67.75,75277.778,7.528,JM
7/15/2019,4,26,KB8,2,0,77,64,68,40,62.25,69166.667,6.917,JM
7/15/2019,4,26,KB8,3,0,69,35,39,53,49,54444.444,5.444,JM
7/15/2019,4,26,KB8,4,0,98,86,89,50,80.75,89722.222,8.972,JM
7/15/2019,4,26,CCMP2458,1,0,88,104,55,60,76.75,85277.778,8.528,LG
