Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density,Densityx10000
5/20/2019,1,26,FLCass,1,0,24,27,23,22,28,28,25,28,,,25.625,28472.22222,2.847222222
5/20/2019,1,26,FLCass,2,0,20,23,26,20,25,27,17,14,28,25,22.5,25000,2.5
5/20/2019,1,26,FLCass,3,0,12,15,17,17,13,17,17,15,,,15.375,17083.33333,1.708333333
5/20/2019,1,26,FLCass,4,0,15,15,18,19,25,26,26,25,,,21.125,23472.22222,2.347222222
5/20/2019,1,26,CCMP2464,1,0,8,7,14,9,,,,,,,9.5,10555.55556,1.055555556
5/20/2019,1,26,CCMP2464,2,0,5,13,13,20,,,,,,,12.75,14166.66667,1.416666667
5/20/2019,1,26,CCMP2464,3,0,20,14,11,9,,,,,,,13.5,15000,1.5
5/20/2019,1,26,CCMP2464,4,0,8,12,19,21,,,,,,,15,16666.66667,1.666666667
5/20/2019,1,26,KB8,1,0,8,15,18,8,,,,,,,12.25,13611.11111,1.361111111
5/20/2019,1,26,KB8,2,0,2,3,7,16,,,,,,,7,7777.777778,0.777777778
5/20/2019,1,26,KB8,3,0,8,7,8,7,,,,,,,7.5,8333.333333,0.833333333
5/20/2019,1,26,KB8,4,0,9,12,16,19,,,,,,,14,15555.55556,1.555555556
5/20/2019,1,26,CCMP2458,1,0,14,24,31,23,,,,,,,23,25555.55556,2.555555556
5/20/2019,1,26,CCMP2458,2,0,19,17,32,27,,,,,,,23.75,26388.88889,2.638888889
5/20/2019,1,26,CCMP2458,3,0,20,19,22,22,17,,,,,,20,22222.22222,2.222222222
5/20/2019,1,26,CCMP2458,4,0,15,12,37,27,,,,,,,22.75,25277.77778,2.527777778
5/20/2019,1,26,RT362,1,0,18,18,28,17,,,,,,,20.25,22500,2.25
5/20/2019,1,26,RT362,2,0,13,18,19,23,,,,,,,18.25,20277.77778,2.027777778
5/20/2019,1,26,RT362,3,0,18,27,22,18,,,,,,,21.25,23611.11111,2.361111111
5/20/2019,1,26,RT362,4,0,25,17,28,20,,,,,,,22.5,25000,2.5
5/20/2019,1,30,CCMP2458,1,0,36,28,24,30,,,,,,,29.5,32777.77778,3.277777778
5/20/2019,1,30,CCMP2458,2,0,27,27,27,37,,,,,,,29.5,32777.77778,3.277777778
5/20/2019,1,30,CCMP2458,3,0,38,41,35,46,,,,,,,40,44444.44444,4.444444444
5/20/2019,1,30,CCMP2458,4,0,27,31,43,35,,,,,,,34,37777.77778,3.777777778
5/20/2019,1,30,CCMP2464,1,0,3,3,6,8,,,,,,,5,5555.555556,0.555555556
5/20/2019,1,30,CCMP2464,2,0,4,12,10,6,,,,,,,8,8888.888889,0.888888889
5/20/2019,1,30,CCMP2464,3,0,11,9,7,8,,,,,,,8.75,9722.222222,0.972222222
5/20/2019,1,30,CCMP2464,4,0,9,3,5,5,,,,,,,5.5,6111.111111,0.611111111
5/20/2019,1,30,RT362,1,0,28,34,28,29,,,,,,,29.75,33055.55556,3.305555556
5/20/2019,1,30,RT362,2,0,43,37,34,40,,,,,,,38.5,42777.77778,4.277777778
5/20/2019,1,30,RT362,3,0,25,35,18,31,38,39,,,,,31,34444.44444,3.444444444
