Temperature,Genotype,Flask,CellCount,CellsPermL,CellsPerL,AvgResp_umol_L_min,AvgGP_umol_L_min,AvgNP_umol_L_min,AvgRespPer1000Cell,AvgGPPer1000Cell,AvgNPPer1000Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2464,1,102.75,1027500,1027500000,-1.12965,4.0533,5.6611,-1.09942E-06,3.94482E-06,5.50959E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2464,2,136.5,1365000,1365000000,-1.61585,4.6083,6.3343,-1.18377E-06,3.37604E-06,4.64051E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2464,3,146.75,1467500,1467500000,-1.2599,4.9796,6.3092,-8.58535E-07,3.39325E-06,4.29928E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2464,4,127,1270000,1270000000,-1.6543,5.1057,7.0815,-1.3026E-06,4.02024E-06,5.57598E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2458,1,110.75,1107500,1107500000,-0.630635,3.5417,4.4741,-5.69422E-07,3.19792E-06,4.03982E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2458,2,112.75,1127500,1127500000,-0.84865,4.5242,5.4887,-7.52683E-07,4.01259E-06,4.86803E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2458,3,134.75,1347500,1347500000,-0.51895,3.7486,4.4536,-3.85121E-07,2.78189E-06,3.30508E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CCMP2458,4,156.75,1567500,1567500000,-0.71435,4.4684,5.2272,-4.55726E-07,2.85065E-06,3.33474E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLCass,1,95.75,957500,957500000,-1.3124,5.635,7.502,-1.37065E-06,5.88512E-06,7.83499E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLCass,2,127.25,1272500,1272500000,-1.24735,6.1874,7.6587,-9.80236E-07,4.8624E-06,6.01862E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLCass,3,132,1320000,1320000000,-1.839675,4.6145,6.807725,-1.39369E-06,3.49583E-06,5.15737E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLCass,4,120,1200000,1200000000,-2.602925,3.745,6.473125,-2.1691E-06,3.12083E-06,5.39427E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RT362,1,136.75,1367500,1367500000,-1.415775,3.5249,5.155825,-1.0353E-06,2.57762E-06,3.77026E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RT362,2,88,880000,880000000,-1.568475,3.5792,5.217925,-1.78236E-06,4.06727E-06,5.92946E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RT362,3,135.25,1352500,1352500000,-1.647875,3.9713,5.679825,-1.21839E-06,2.93627E-06,4.1995E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RT362,4,155.75,1557500,1557500000,-1.653775,3.8528,5.672425,-1.06181E-06,2.47371E-06,3.64201E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KB8,1,133.25,1332500,1332500000,-1.311225,1.7104,3.017325,-9.84034E-07,1.2836E-06,2.26441E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KB8,2,126.5,1265000,1265000000,-1.395325,1.5532,2.816125,-1.10302E-06,1.22783E-06,2.22619E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KB8,3,145.5,1455000,1455000000,-1.329675,1.551,2.965125,-9.13866E-07,1.06598E-06,2.03789E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KB8,4,144.5,1445000,1445000000,-1.395675,1.4678,2.842925,-9.65865E-07,1.01578E-06,1.96742E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2464,1,118.75,1187500,1187500000,-1.1531,2.8564,4.1632,-9.71032E-07,2.40539E-06,3.50585E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2464,2,135.75,1357500,1357500000,-1.1083,2.6145,3.8208,-8.16427E-07,1.92597E-06,2.81459E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2464,3,135.75,1357500,1357500000,-1.4654,2.3144,3.78,-1.07948E-06,1.7049E-06,2.78453E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2464,4,137.75,1377500,1377500000,-1.1806,2.8123,3.9982,-8.5706E-07,2.0416E-06,2.9025E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2458,1,165.25,1652500,1652500000,-0.87805,2.4297,3.242,-5.31346E-07,1.47032E-06,1.96188E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2458,2,144.5,1445000,1445000000,-1.01495,2.5669,3.6167,-7.02388E-07,1.7764E-06,2.50291E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2458,3,150,1500000,1500000000,-0.8755,2.6392,3.4596,-5.83667E-07,1.75947E-06,2.3064E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCMP2458,4,151,1510000,1510000000,-0.73075,2.0001,2.7685,-4.8394E-07,1.32457E-06,1.83344E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FLCass,1,137.25,1372500,1372500000,-1.2081,2.8276,4.1319,-8.80219E-07,2.06018E-06,3.01049E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3175,-0.1443,-0.1944,0.4118,0.4076,-0.1611,-0.4701,0.401225
30,FLCass,2,94,940000,940000000,-1.38345,3.1235,4.3017,-1.47176E-06,3.32287E-06,4.57628E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.718725,-0.545525,-0.595625,0.010575,0.006375,-0.562325,-0.871325,0
30,FLCass,3,170.25,1702500,1702500000,-0.585875,2.730775,3.2615,-3.44126E-07,1.60398E-06,1.91571E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02885,2.91415,2.61445,0.03805,0.00125,2.92705,3.18025,0
30,FLCass,4,139,1390000,1390000000,-1.160925,3.500975,4.5984,-8.35198E-07,2.51869E-06,3.3082E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RT362,1,134.25,1342500,1342500000,-0.537825,2.693575,3.4089,-4.00615E-07,2.00639E-06,2.53922E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RT362,2,141.75,1417500,1417500000,-1.221225,3.392875,4.5896,-8.61534E-07,2.39356E-06,3.23781E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RT362,3,127.5,1275000,1275000000,-1.029075,3.087575,4.5568,-8.07118E-07,2.42163E-06,3.57396E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLCass_4B,RT362_1A,RT362_1B,DI,DI,FLCass_3A,FLCass_3B,AvgDI
30,RT362,4,132,1320000,1320000000,-1.180975,3.102275,4.3059,-8.94678E-07,2.35021E-06,3.26205E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KB8,1,142.5,1425000,1425000000,-0.559975,1.799375,2.5958,-3.92965E-07,1.26272E-06,1.82161E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KB8,2,148.75,1487500,1487500000,-0.782025,2.472375,3.3684,-5.25731E-07,1.6621E-06,2.26447E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KB8,3,122.5,1225000,1225000000,-0.768725,1.694075,2.7873,-6.27531E-07,1.38292E-06,2.27535E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KB8,4,128,1280000,1280000000,-0.262975,1.382975,1.5939,-2.05449E-07,1.08045E-06,1.24523E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CCMP2464,1,132,1320000,1320000000,-0.634075,1.8167,2.421175,-4.8036E-07,1.37629E-06,1.83422E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CCMP2464,2,161.25,1612500,1612500000,-1.065575,1.9708,2.828175,-6.60822E-07,1.2222E-06,1.75391E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
